Index;Company;Symbol;WKN;ISIN;Knockout Certificates
S&P500;Citigroup Inc.;C;A1HB6J;US1729674242;Available
S&P500;Caterpillar Inc.;CAT;850598;US1491231015;Available
S&P500;Carnival Corporation;CCL;120071;PA1436583006;No
S&P500;Comcast Corporation;CMCSA;157484;US20030N1019;Available
S&P500;Costco Wholesale Corporation;COST;888351;US22160K1051;Available
S&P500;Salesforce Inc.;CRM;A0B87V;US79466L3024;Available
S&P500;Cisco Systems Inc.;CSCO;878841;US17275R1023;Available
S&P500;Chevron Corporation;CVX;852552;US1667641005;Available
S&P500;Delta Air Lines Inc.;DAL;A0MQV8;US2473617023;No
S&P500;Deere & Company;DE;850866;US2441991054;Available
S&P500;Walt Disney Company;DIS;855686;US2546871060;Available
S&P500;Ford Motor Company;F;502391;US3453708600;No
S&P500;Gilead Sciences Inc.;GILD;885823;US3755581036;Available
S&P500;General Motors Company;GM;A1C9CM;US37045V1008;No
S&P500;Alphabet Inc. Class C;GOOG;A1XA2B;US02079K1079;Available
S&P500;Alphabet Inc. Class A;GOOGL;A14Y6F;US02079K3059;Available
S&P500;Goldman Sachs Group Inc.;GS;920332;US38141G1040;Available
S&P500;Halliburton Company;HAL;853986;US4062161017;No
S&P500;Home Depot Inc.;HD;866953;US4370761029;Available
S&P500;Honeywell International Inc.;HON;870153;US4385161066;Available
S&P500;International Business Machines;IBM;851399;US4592001014;Available
S&P500;Intel Corporation;INTC;855681;US4581401001;Available
S&P500;Intuit Inc.;INTU;886053;US4612021034;Available
S&P500;Intuitive Surgical Inc.;ISRG;888024;US46120E6023;Available
S&P500;Johnson & Johnson;JNJ;853260;US4781601046;Available
S&P500;JPMorgan Chase & Co.;JPM;850628;US46625H1005;Available
S&P500;Coca-Cola Company;KO;850663;US1912161007;Available
S&P500;Eli Lilly and Company;LLY;858560;US5324571083;Available
S&P500;Lockheed Martin Corporation;LMT;894648;US5398301094;Available
S&P500;Lowe's Companies Inc.;LOW;859545;US5486611073;Available
S&P500;Mastercard Inc.;MA;A0F602;US57636Q1040;Available
S&P500;McDonald's Corporation;MCD;856958;US5801351017;Available
S&P500;Medtronic plc;MDT;A14M2J;IE00BTN1Y115;Available
S&P500;Meta Platforms Inc.;META;A1JWVX;US30303M1027;Available
S&P500;3M Company;MMM;851745;US88579Y1010;Available
S&P500;Merck & Co Inc.;MRK;659990;US58933Y1055;Available
S&P500;Moderna Inc.;MRNA;A2N9D9;US60770K1079;No
S&P500;Morgan Stanley;MS;885836;US6174464486;Available
S&P500;Microsoft Corporation;MSFT;870747;US5949181045;Available
S&P500;Norwegian Cruise Line Holdings;NCLH;A1KBL8;BMG667211046;No
S&P500;Nike Inc.;NKE;866993;US6541061031;Available
S&P500;NVIDIA Corporation;NVDA;918422;US67066G1040;Available
S&P500;Oracle Corporation;ORCL;871460;US68389X1054;Available
S&P500;PepsiCo Inc.;PEP;851995;US7134481081;Available
S&P500;Pfizer Inc.;PFE;852009;US7170811035;Available
S&P500;Procter & Gamble Co.;PG;852062;US7427181091;Available
S&P500;Philip Morris International;PM;A0NDBJ;US7181721090;Available
S&P500;PayPal Holdings Inc.;PYPL;A14R7U;US70450Y1038;No
S&P500;Qualcomm Inc.;QCOM;883121;US7475251036;Available
S&P500;Royal Caribbean Cruises Ltd.;RCL;886286;LR0008862868;No
S&P500;Starbucks Corporation;SBUX;884437;US8552441094;Available
S&P500;Thermo Fisher Scientific Inc.;TMO;857209;US8835561023;Available
S&P500;T-Mobile US Inc.;TMUS;A1T7LU;US8725901040;No
S&P500;Tesla Inc.;TSLA;A1CX3T;US88160R1014;Available
S&P500;Texas Instruments Inc.;TXN;852654;US8825081040;Available
S&P500;United Airlines Holdings Inc.;UAL;A1C6TV;US9100471096;No
S&P500;Uber Technologies Inc.;UBER;A2PHHG;US90353T1007;No
S&P500;UnitedHealth Group Inc.;UNH;869561;US91324P1021;Available
S&P500;United Parcel Service;UPS;929198;US9113121068;Available
S&P500;Visa Inc.;V;A0NC7B;US92826C8394;Available
S&P500;Verizon Communications Inc.;VZ;868402;US92343V1044;Available
S&P500;Walmart Inc.;WMT;860853;US9311421039;Available
S&P500;Exxon Mobil Corporation;XOM;852549;US30231G1022;Available
